cs_uri,predicted_label,confidence
gs://skin_cancer_project2/Test_Images/ISIC_0035321.jpg,bcc_images,0.9025179
gs://skin_cancer_project2/Test_Images/ISIC_0035857.jpg,nv_images,0.80956286
gs://skin_cancer_project2/Test_Images/ISIC_0035814.jpg,nv_images,0.7199213
gs://skin_cancer_project2/Test_Images/ISIC_0034915.jpg,bkl_images,0.86870307
gs://skin_cancer_project2/Test_Images/ISIC_0035127.jpg,bcc_images,0.9148194
gs://skin_cancer_project2/Test_Images/ISIC_0035189.jpg,nv_images,0.82508296
gs://skin_cancer_project2/Test_Images/ISIC_0035536.jpg,nv_images,0.93861365
gs://skin_cancer_project2/Test_Images/ISIC_0035102.jpg,nv_images,0.93311906
gs://skin_cancer_project2/Test_Images/ISIC_0035388.jpg,bkl_images,0.7576625
gs://skin_cancer_project2/Test_Images/ISIC_0035345.jpg,mel_images,0.93701625
gs://skin_cancer_project2/Test_Images/ISIC_0035014.jpg,nv_images,0.9273189
gs://skin_cancer_project2/Test_Images/ISIC_0035364.jpg,akiec_images,0.29282945
gs://skin_cancer_project2/Test_Images/ISIC_0035544.jpg,nv_images,0.92925304
gs://skin_cancer_project2/Test_Images/ISIC_0035523.jpg,nv_images,0.94509614
gs://skin_cancer_project2/Test_Images/ISIC_0035180.jpg,bkl_images,0.8743484
gs://skin_cancer_project2/Test_Images/ISIC_0035374.jpg,bkl_images,0.82276666
gs://skin_cancer_project2/Test_Images/ISIC_0035405.jpg,nv_images,0.84129953
gs://skin_cancer_project2/Test_Images/ISIC_0035121.jpg,nv_images,0.9175859
gs://skin_cancer_project2/Test_Images/ISIC_0034972.jpg,mel_images,0.5197956
gs://skin_cancer_project2/Test_Images/ISIC_0034601.jpg,nv_images,0.9345941
gs://skin_cancer_project2/Test_Images/ISIC_0034971.jpg,mel_images,0.86397076
gs://skin_cancer_project2/Test_Images/ISIC_0035897.jpg,nv_images,0.83534867
gs://skin_cancer_project2/Test_Images/ISIC_0035110.jpg,bkl_images,0.71535766
gs://skin_cancer_project2/Test_Images/ISIC_0035720.jpg,mel_images,0.91553354
gs://skin_cancer_project2/Test_Images/ISIC_0035735.jpg,bkl_images,0.91015804
gs://skin_cancer_project2/Test_Images/ISIC_0035837.jpg,nv_images,0.90218985
gs://skin_cancer_project2/Test_Images/ISIC_0035119.jpg,akiec_images,0.93531656
